tabua,label,grupo,sexo,tipo,idade,qx,lx,ex
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,0,0.000352673,1000000.0,81.1
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,1,0.0002263863,999647.0,80.1
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,2,0.0001963496,999421.0,79.1
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,3,0.0001813874,999225.0,78.1
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,4,0.000172686,999044.0,77.1
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,5,0.0001673759,998871.0,76.1
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,6,0.0001641625,998704.0,75.2
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,7,0.0001629112,998540.0,74.2
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,8,0.0001633819,998377.0,73.2
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,9,0.0001663195,998214.0,72.2
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,10,0.0001731675,998048.0,71.2
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,11,0.0001862037,997875.0,70.2
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,12,0.0002096997,997689.0,69.2
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,13,0.0002486764,997480.0,68.2
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,14,0.0003057705,997232.0,67.3
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,15,0.0003793169,996927.0,66.3
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,16,0.0004648048,996549.0,65.3
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,17,0.0005570015,996086.0,64.3
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,18,0.0006461586,995531.0,63.4
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,19,0.0007265512,994888.0,62.4
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,20,0.0007931791,994165.0,61.5
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,21,0.0008437119,993376.0,60.5
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,22,0.0008765021,992538.0,59.6
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,23,0.0008922445,991668.0,58.6
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,24,0.000895003,990784.0,57.7
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,25,0.0008864633,989897.0,56.7
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,26,0.0008697844,989019.0,55.8
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,27,0.0008498267,988159.0,54.8
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,28,0.000828435,987319.0,53.9
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,29,0.0008091954,986501.0,52.9
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,30,0.0007942939,985703.0,51.9
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,31,0.0007858324,984920.0,51.0
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,32,0.0007844502,984146.0,50.0
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,33,0.0007910742,983374.0,49.1
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,34,0.000806779,982596.0,48.1
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,35,0.0008312581,981803.0,47.1
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,36,0.0008650765,980987.0,46.2
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,37,0.0009090822,980139.0,45.2
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,38,0.0009629697,979248.0,44.3
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,39,0.0010267543,978305.0,43.3
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,40,0.0011018664,977300.0,42.4
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,41,0.0011874035,976223.0,41.4
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,42,0.0012847691,975064.0,40.4
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,43,0.0013940274,973811.0,39.5
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,44,0.0015160257,972454.0,38.6
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,45,0.0016514189,970980.0,37.6
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,46,0.0018018142,969376.0,36.7
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,47,0.0019683286,967630.0,35.7
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,48,0.0021525217,965725.0,34.8
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,49,0.0023562893,963646.0,33.9
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,50,0.0025803187,961376.0,33.0
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,51,0.0028275297,958895.0,32.1
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,52,0.0030996543,956184.0,31.1
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,53,0.0033995824,953220.0,30.2
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,54,0.003729461,949979.0,29.3
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,55,0.0040923344,946436.0,28.5
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,56,0.0044915374,942563.0,27.6
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,57,0.0049303584,938330.0,26.7
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,58,0.0054136483,933703.0,25.8
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,59,0.0059450334,928649.0,25.0
BR-EMSsb-2021-M,BR-EMSsb 2021 (M),BR-EMS,M,sb,60,0.0065296007,923128.0,24.1
